tipe,soal,gambar,opsi_a,poin_a,opsi_b,poin_b,opsi_c,poin_c,opsi_d,poin_d,opsi_e,poin_e,kunci_jawaban
TWK,"Pada suatu hari, Lutfi melihat sekelompok pelajar yang sedang membuang sampah sembarangan di jalanan. Lutfi merasa tidak setuju dengan perilaku mereka karena dapat merusak kebersihan lingkungan. Apa yang sebaiknya dilakukan Lutfi sebagai wujud nasionalismenya....","","Lutfi sebaiknya melaporkan perilaku pelajar-pelajar tersebut kepada pihak berwenang yaitu guru sekolah",0,"Lutfi sebaiknya bergabung dengan pelajar-pelajar tersebut untuk membimbing mereka untuk lebih peduli terhadap lingkungan",0,"Lutfi sebaiknya melakukan aksi yang nyata dengan memungut sampah agar menjadi contoh yang baik bagi mereka",0,"Lutfi sebaiknya menyampaikan pendapatnya ke mereka untuk lebih memahami dan peduli dengan lingkungan.",5,"Lutfi sebaiknya menyediakan tempat pembuangan sampah di tempat-tempat umum untuk menghindari pembuangan sampah sembarangan sebagai bukti kecintaanya kepada lingkungan",0,D
TWK,"Bahasa Indonesia sebagai simbol identitas bangsa dan kekayaan budaya sebagai warisan perjuangan pemuda melalui Sumpah Pemuda 1928. Untuk menjaga nilai-nilai perjuangan yang terkandung dalam Sumpah upaya pelestarian bahasa indonesia tetap dilakukan. Cara paling tepat dalam mempertahankan nilai-nilai bahasa Indonesia kondisi saat ini adalah...","","Merancang pembelajaran bahasa indonesia pemahaman kosakata, tata bahasa dan keterampilan komunikasi secara komperhensif",5,"Memaksimalkan penggunaan bahasa indonesia dalam berkomunikasi karena indonesia",0,"Pengembangan teknologi berbahasa Indonesia untuk memastikan bahasa Indonesia tetap relevan dan digunakan secara luas",0,"Mendorong penggunaan bahasa indonesia secara baik dan benar di media sosial guna menjaga keaslian dan kualitas bahasa.",0,"Promosi satra dan karya budaya berbahasa Indonesia dengan memberikan dukungan terhadap penulis, penyair, senimana dan budayawan untuk menciptakan bahasa indonesia sebagai khazana budaya bangsa",0,A
TWK,"Perhatikan sikap nasionalisme berikut: Menggunakan baju batik dalam rangkah memperingati hari batik nasional Meningkatkan komunikasi dan kebersamaan antar masyarakat Mengahdiri kegiatan festival kebudayaan pada peringatan hari Kemerdekaan Menghargai keberadaan budaya oranglain Berkomunikasi antar siswa dengan bahasa Indonesia yang jelas dan teratur Contoh aktualisasi sikap cinta tanahair dalam kehidupan sehari-hari terdapat pada angka...","","1, 2, dan 3",0,"2, 3, dan 4",0,"3, 4, dan 5",5,"2, 4, dan 5",0,"1, 3, dan 5",0,C
TWK,"Perhatikan pernyataan berikut : Memakai pakaian adat Percaya terhadap keharuman budaya bangsa Membuat pertunjukan tari di area publik agar banyak masyarakat mengetahui Memperbanyak referensi dan informasi tentang seni tari Berbagi informasi kepada oranglain tentang budaya-budaya unik setiap daerah Memuliahkan dan mengapresiasi setiap pencapaian tarian tradisional Indonesia merupakan negara yang penuh dengan budaya dan bahasa, yang termasuk cara membudidayakan budaya daerah Indonesia untuk mendukung integrasi budaya bangsa adalah...","","1, 2, 3",0,"2, 3, 4",0,"3, 4, 5",0,"3, 5, 6",5,"1, 5, 6",0,D
TWK,"Dalam rangka memperingati Hari Kemerdekaan, sekolah mengadakan lomba bernyanyi lagu-lagu perjuangan nasional. Kegiatan ini penting dibudayakan untuk mencapai tujuan nasionalisme dalam bentuk...","","Upaya mempertahankan identitas bangsa dari perkembangan lagu-lagu pop dunia",0,"Menumbuhkan rasa bangga dan cinta kepada bangsa dan negara",0,"Menanamkan semangat perjuangan para pahlawan",5,"Sarana pendidikan dan pemahaman sejarah perjuangan kemerdekaan",0,"Mendidik siswa untuk memperkuat rasa persatuan dan rasa memiliki atas keberagaman lagu daerah",0,C
TWK,"Pak James adalah salah satu rakyat kecil disuatu pedesaan yang cinta terhadap tanah air Indonesia. Berikut penerapan cinta tanah air yang dapat dilakukan pak James sebagai perwujudan nasionalisme adalah.......","","Mencintai bangsa sendiri dan menganggap derajat bangsa lain sama",0,"Menjual produk ke luar negeri agar produk negara dikenal warga dunia dan meningkatkan pendapatan negara",0,"Menggunakan produk dalam negeri karena dapat menggerakkan roda perekonomian UMKM",5,"Mencari pekerjaan ke luar negeri untuk memenuhi kebutuhan dan menambah pendapatan negara",0,"Selalu melaksanakan upacara bendera walaupun berada di luar negeri",0,C
TWK,"Menjaga toleransi adalah yang paling utama dalam mencapai keharmonisan bermsyarakat, sehingga setiap warga negara harus memahami prinsip dasar kebhinekaan. Berikut ini yang mencerminkan tindakan nasionalisme warga negara adalah....","","Menjamin kebebasan orang lain untuk memeluk agama dan beribadah",0,"Membangun perekonomian secara merata dan adil di seluruh penjuru negeri",0,"Menjunjung tinggi persamaan hak dan kewajiban setiap warga negara",0,"Memediasi antar kelompok yang berkonflik demi menjaga persatuan bangsa",5,"Menciptakan suasana demokratis yang berkeadilan dalam kehidupan bernegara",0,D
TWK,"James Seorang pegawai pemerintah yang memiliki saham dalam sebuah perusahaan yang sedang berusaha mendapatkan kontrak dari pemerintah, mau tidak mau James harus menjual sahamnya sebelum perusahaan tersebut mendapatkan kontrak. Sikap ini merupakan upaya mempertahankan integritas diri karena..","","Bersikap jujur kepada pemerintah menyangkut saham yang dimiliki James",0,"Menghindari konflik kepentingan diri dan menjaga integritas dalam pengambilan keputusan",5,"Upaya transparansi terhadap kepemilikan berupa kekayaan diri sebelum di kontrak",0,"Menjunjung tinggi integritas harus menyusun laporan kepemilikan saham dengan kejujuran dan integritas tanpa menyembunyikan dari pihak pemerintah",0,"Berupaya taat mekanisme hukum dan etika dalam perusahaan untuk menghindari kerugian bagi pemerintah",0,B
TWK,"Salah satu tokoh pergerakan nasional yang sangat dikenal adalah Dr. Wahidin Sudirohusodo pendiri organisasi pergerakan nasional pertama yang ada di Indonesia yakni Budi Utomo. Salah satu tujuannya adalah memajukan pendidikan. Dibawah ini salah satu sikap integritas Dr. Wahidin Sudirhusodo dalam memajukan pendidikan adalah..","","Berkeliling kota-kota besar di Jawa mengunjungi tokoh-tokoh masyarakat sambil memberikan gagasan tentang dana pelajar untuk membantu pemuda-pemuda yang tidak dapat melanjutkan sekolahnya",5,"Menulis berbagai tulisan yang berisi kritikan terhadap pemerintah Belanda sebagai bentuk protes terhadap pelaksanaan pemerintahan yang tidak adil",0,"Mendirikan taman siswa sebagai bentuk perjuangan dalam bidang pendidikan bagi masyarakat pribumi agar tidak terbelakang secara ilmu pengetahuan",0,"Mendedikasikan dirinya untuk menjadi seorang guru bagi pemimpin-pemimpin besar di Indonesia sehingga arah pemikiran bangsa menjadi jelas dan tidak saling bertentangan",0,"Bertanggungjawab terhadap pemenuhan hak-hak warga negara dalam memajukan kebudayaan nasional",0,A
TWK,"Seorang Pejabat Pembina Kepegawaian (PKK) menempatkan para CPNS yang berhasil lulus semua tahapan seleksi. Lutfi salah satu peserta CPNS yang lulus sampai tahapan akhir seleksi mendapat banyak menrima masukan dan opini lain dari tim ahli dengan alasan yang logis. Bagaimana sebaiknya jawaban Lutfi sebagai wujud integritas atas fenomena tersebut..","","Menjadikan asal daerah sebagai pertimbangan untuk memudahkan komunikasi saat bekerja nanti",0,"Menerima masukan tersebut dengan mempertimbangkan urutan peringkat",0,"Mempertimbangkan potensi lokalitas agar mudah diterima masyarakat di penempatannya",0,"Menempatkan secara acak dengan tujuan agar memunculkan keberagaman budaya saat nanti",5,"Menempatkan CPNS yang belum berkeluarga di budaya yang berbeda dengan tempat asal untuk memperkaya pengalaman",0,D
TWK,"Penggunaan huruf kapital yang betul terdapat pada kalimat...","","Kita harus berusaha menggunakan Bahasa Indonesia yang baik dan benar",0,"Pada Bulan Agustus ia akan berangkat ke Amerika.",0,"Di mana banyak terdapat Suku Jawa?",0,"Pegunungan yang membentang di daratan Sumatra itu bernama Bukit Barisan",5,"Dengan gembira masyarakat menyambut Hari Lebaran.",0,D
TWK,"Kalimat berikut yang ditulis sesuai dengan EYD adalah...","","Dalam mengantisipasi terjadinya demonstrasi ribuan karyawan, yakni menuntut kenaikan upah lembur jajaran direktur di perusahaan Metal Perkasa mengadakan koordinasi bersama dengan para Manajer.",0,"Dalam mengantisipasi terjadinya demonstrasi ribuan karyawan, yakni menuntut kenaikan upah lembur, jajaran Direktur di Perusahaan Metal Perkasa mengadakan koordinasi bersama dengan Manajer.",5,"Dalam mengantisipasi terjadinya demonstrasi ribuan karyawan, yakni menuntut kenaikan upah lembur. jajaran direktur di perusahaan Metal Perkasa mengadakan koordinasi bersama dengan para manajer.",0,"Dalam mengantisipasi terjadinya demonstrasi ribuan karyawan, yakni menuntut kenaikan upah lembur, jajaran Direktur di perusahaan Metal Perkasa mengadakan koordinasi bersama dengan para Manajer.",0,"Dalam mengantisipasi terjadinya demonstrasi ribuan karyawan yakni menuntut kenaikan upah lembur. jajaran direktur di Perusahaan Metal Perkasa mengadakan koordinasi bersama dengan para Manajer.",0,B
TWK,"Kata-kata yang bersinonim adalah...","","Mawas diri - introspeksi",5,"Egoistis - tinggi hati",0,"Optimistis - berpandangan ke depan",0,"Efektif - berhasil tepat",0,"Umpan balik - balik tanya",0,A
TWK,"Proses pembentukan kata berkedudukan dalam kalimat Kantor Pusat kami bekedudukan di Palembang adalah duduk > kedudukan > berkedudukan. Proses yang sama terdapat pula pada bentukan data dalam kalimat berikut, KECUALI","","Mereka berkesempatan menginap selama dua malam.",0,"Bencana berkepanjangan menimpa daerah mereka.",0,"Polisi berkesimpulan bahwa mereka memang bersalah.",5,"Program Melati berkesinambungan dengan program sebelumnya.",0,"Setiap warga berkewajiban membersihkan lingkungan masing-masing",0,C
TWK,"Akhiran -i pada kata mengelilingi dalam kalimat Setiap Minggu pagi saya mengelilingi Masjid Agung dengan berjalan kaki mempunyai makna yang sama dengan akhiran -i pada kata yang bercetak miring pada kalimat","","Seorang ibu yang bijak harus menyusui anaknya.",0,"Polisi memasuki sarang penyamun dengan senjata api.",5,"Sering kita temukan pelajar yang tidak menghormati ibunya.",0,"Iwan pantang menyakiti hati kekasihnya.",0,"Ibu menggulai teh untuk tamu.",0,B
TIU,"Almari : Celana = ...... : ......","","Teko : Air",0,"Kompor : Minyak",0,"Dompet : Uang",5,"Kereta : Gerbong",0,"Kapal : Pelabuhan",0,C
TIU,"Latihan : Lomba = ...... : ......","","Tekun : Pandai",0,"Baca : Paham",0,"Malas : Gagal",0,"Pintar : Juara",0,"Belajar : Ujian",5,E
TIU,"Rokok : Paru-paru = ...... : ......","","Gula : Diabetes",0,"Pestisida : Tanah",5,"Virus : Demam",0,"Detergen : Tanaman",0,"Angin : Ladang",0,B
TIU,"Jika kebakaran hutan dan lahan terjadi di kawasan hutan lindung maka pemerintah daerah akan mengerahkan pasukan pemadam api dan organisasi pecinta lingkungan akan melakukan penyelamatan satwa. Saat ini organisasi pecinta lingkungan tidak bergerak untuk melakukan penyelamatan satwa.","","Pemerintah daerah telah mengerahkan pasukan pemadam api.",0,"Kebakaran hutan dan lahan telah terjadi dikawasan hutan lindung.",0,"Satwa di hutan lindung telah diselamatkan oleh pemerintah daerah.",0,"Hutan lindung masih aman dari ancaman kebakaran hutan dan lahan.",5,"Pasukan pemadam api belum diturunkan oleh pemerintah daerah.",0,D
TIU,"Jika perairan terpapar limbah detergen maka dapat memicu ledakan populasi tanaman air. Jika konsentrasi pestisida dalam tanah tinggi maka beberapa tanaman pangan dapat mati. Saat ini tanaman pangan masih dapat tumbuh dengan baik meskipun limbah detergen banyak mengalir ke perairan.","","Konsentrasi pestisida dalam tanah tinggi dan terjadi ledakan populasi tanaman air.",0,"Populasi tanaman air meledak dan konsentrasi pestisida dalam tanah tidak tinggi.",5,"Konsentrasi pestisida dalam tanah tidak tinggi atau populasi tanaman air masih normal.",0,"Populasi tanaman air masih normal dan konsentrasi pestisida dalam tanah tidak tinggi.",0,"Konsentrasi pestisida dalam tanah tinggi meskipun populasi tanaman air masih normal.",0,B
TIU,"Tidak ada peserta upacara yang mengenakan jam tangan. Semua siswa kelas XII mengikuti upacara.","","Beberapa siswa kelas XII yang mengenakan jam tangan tidak mengikuti upacara.",0,"Tidak ada siswa kelas XII yang mengenakan jam tangan saat upacara berlangsung.",5,"Semua siswa kelas XII mengenakan jam tangan selama upacara berlangsung.",0,"Ada peserta upacara yakni siswa kelas XII yang tidak mengenakan jam tangan.",0,"Tidak ada siswa kelas XII yang tidak mengikuti upacara dan tidak mengenakan jam tangan.",0,B
TIU,"Hari ini Bayu mempunyai beberapa agenda untuk dilakukan. Dia ingin mengembalikan sepeda milik Made setelah makan soto di Baltos. Bayu ingin makan pisang goreng hangat di Taman Sari. Setelah makan pisang, dia tidak ingin minum es teh di Taman Sari tetapi ingin minum es buah di Saraga. Setelah dari Saraga, Bayu menuju ke Baltos. Pernyataan yang benar adalah......","","Hal pertama yang dilakukan Bayu adalah pergi ke Baltos.",0,"Makanan pertama yang dinikmati Bayu adalah soto.",0,"Sebelum ke Saraga, Bayu mengembalikan sepeda milik Made.",0,"Setelah makan soto, Bayu minum es buah di Saraga.",0,"Pisang adalah makanan pertama yang akan dimakan oleh Bayu.",5,E
TIU,"Seorang mahasiswa harus mengambil 8 mata kuliah, yakni F, G, H, J, K, L, M, N. Seluruh mahasiswa mengambil satu mata kuliah secara berurutan setiap semesternya dan tidak ada mata kuliah yang diulang. N selalu diambil di semester pertama. F selalu diambil segera setelah mata kuliah G diambil. H harus diambil sebelum mata kuliah F. J dan M harus dipisahkan oleh dua semester yang berurutan. Urutan jadwal berikut yang memenuhi persyaratan di atas adalah ....","","N, J, H, G, F, M, K, L",0,"N, G, J, F, H, M, K, L",0,"N, M, H, L, J, G, F, K",5,"N, M, K, L, J, G, F, H",0,"N, F, G, H, J, K, L, M",0,C
TIU,"Ada tujuh orang yang berdiri dalam suatu antrian menghadap loket. Eri terletak di depan Farah. Ada satu orang yang berdiri di antara Citra dan Galih. Dian berada tepat dibelakang Arman. Farah berada di belakang Beni dan Dian. Jika Dian berada di urutan ke-4 maka yang berada di urutan ke-6 adalah ......","","Citra",0,"Galih",0,"Farah",5,"Citra atau Galih",0,"Galih atau Farah",0,C
TIU,"Diketahui x adalah suatu bilangan pecahan. Jika pembilang dari x ditambah dengan 2 maka akan diperoleh pecahan 2/3. Jika penyebut dari x dikurangi 1 maka akan diperoleh pecahan 1/2. Hasil penjumlahan pembilang dan penyebut dari bilangan x adalah .....","","10",0,"11",0,"12",0,"13",5,"14",0,D
TIU,"6,6552^2 – 3,3452^2 + 756,2 =","","576,3",0,"687,3",0,"789,3",5,"836,3",0,"967,3",0,C
TIU,"Jika 6^4 + 6^4 + 6^4 + 6^4 + 6^4 + 6^4 = (2 x a)^n dengan a dan n adalah bilangan bulat. Maka nilai a + n yaitu....","","5",0,"6",0,"7",0,"8",5,"9",0,D
TIU,"Jika x = 1/16 dan y = 16% maka....","","x = y",0,"x < y",5,"x > y",0,"sqrt(x) < y",0,"Hubungan x dan y tidak dapat ditentukan",0,B
TIU,"Nilai dari 37,5% dari 0,333 adalah ....","","0,165",0,"0,195",0,"0,125",5,"0,265",0,"0,275",0,C
TIU,"-1, 2, 2, 4, -4, 6, 8,....","","-8",0,"-6",0,"6",0,"8",5,"10",0,D
TIU,"2, 3, 6, 3, 4, 8, 5, 6,...","","4",0,"6",0,"8",0,"10",0,"12",5,E
TIU,"5, 2, 3, 4, ......, 5, 3, 8, ......, 2, 16, 9","","7, 3",0,"5, 5",0,"6, 4",0,"3, 6",0,"4, 7",5,E
TIU,"1, 2, 5, 13, 29, ......","","54",0,"55",0,"56",5,"57",0,"58",0,C
TIU,"Perbandingan antara 3/5 dan 5/7 adalah ......","","3 banding 25",0,"7 banding 21",0,"7 banding 35",0,"21 banding 25",5,"21 banding 35",0,D
TIU,"Jika x = -5, y = 5, a = (x - y)^2, b = (y - x)^2","","a > b",0,"a < b",0,"a = b",5,"a dan b tidak dapat ditentukan",0,"ab > b",0,C
TIU,"Jika x^2 - 16 = 0 dan y = 4, maka....","","x > y",0,"x < y",0,"x = y",0,"x dan y tidak dapat ditentukan",5,"2x > 2y",0,D
TIU,"Jika a = 4, b = 3, x = 3(4a - b), dan y = 4(3b - a) maka....","","x > y",5,"x < y",0,"x = y",0,"x <= y",0,"x dan y tidak dapat ditentukan",0,A
TIU,"Bu Hana dapat menyelesaikan 12 jahitan dalam 2 hari. Bu Reni dapat menyelesaikan 20 jahitan dalam 5 hari. Bu Hesti dapat menyelesaikan 30 jahitan dalam 6 hari. Jika mereka bertiga bekerja bersamaan untuk menyelesaikan total sebanyak 120 jahitan maka pekerjaan tersebut akan selesai dalam waktu ......","","5 hari",0,"6 hari",0,"7 hari",0,"8 hari",5,"9 hari",0,D
TIU,"Sebuah penampung air memiliki kapasitas 450 liter. Sebuah kran dengan debit air 8 liter/menit dibuka untuk mengalirkan air ke dalam penampung. Pada suatu waktu tertentu selama pengisian terjadi kebocoran penampung yang mengalirkan air dengan debit 1.5 liter/menit. Jika penampung penuh dalam waktu 1 jam maka kebocoran penampung terjadi pada ......","","menit ke 20",0,"menit ke 25",0,"menit ke 30",0,"menit ke 40",5,"menit ke 45",0,D
